Name,UID,Grade,Division
John Doe,BRHS001,Nursery,A
Jane Smith,BRHS002,LKG,B
Mike Johnson,BRHS003,UKG,C
Aarav Kumar,BRHS004,Nursery,Rigel
Priya Sharma,BRHS005,LKG,A
Rohan Patel,BRHS006,UKG,B
Sara Reddy,BRHS007,Nursery,C
Ishita Iyer,BRHS008,LKG,Rigel
Kunal Verma,BRHS009,UKG,A
Ananya Gupta,BRHS010,Nursery,B
Vikram Doe,BRHS011,LKG,C
Leah Smith,BRHS012,UKG,Rigel
Kabir Johnson,BRHS013,Nursery,A
Tara Kumar,BRHS014,LKG,B
Om Sharma,BRHS015,UKG,C
Nisha Patel,BRHS016,Nursery,Rigel
Aditya Reddy,BRHS017,LKG,A
Sneha Iyer,BRHS018,UKG,B
Rahul Verma,BRHS019,Nursery,C
Pooja Gupta,BRHS020,LKG,Rigel
Karan Doe,BRHS021,UKG,A
Diya Smith,BRHS022,Nursery,B
Yash Johnson,BRHS023,LKG,C
Meera Kumar,BRHS024,UKG,Rigel
Arjun Sharma,BRHS025,Nursery,A
Riya Patel,BRHS026,LKG,B
Sahil Reddy,BRHS027,UKG,C
Kiara Iyer,BRHS028,Nursery,Rigel
Manav Verma,BRHS029,LKG,A
Simran Gupta,BRHS030,UKG,B
Dev Doe,BRHS031,Nursery,C
Avni Smith,BRHS032,LKG,Rigel
Rehan Johnson,BRHS033,UKG,A
Myra Kumar,BRHS034,Nursery,B
Vivaan Sharma,BRHS035,LKG,C
Lavanya Patel,BRHS036,UKG,Rigel
Neil Reddy,BRHS037,Nursery,A
Krisha Iyer,BRHS038,LKG,B
Parth Verma,BRHS039,UKG,C
Aisha Gupta,BRHS040,Nursery,Rigel
Rudra Doe,BRHS041,LKG,A
Sana Smith,BRHS042,UKG,B
Harsh Johnson,BRHS043,Nursery,C
Aarohi Kumar,BRHS044,LKG,Rigel
Hriday Sharma,BRHS045,UKG,A
Muskan Patel,BRHS046,Nursery,B
Shlok Reddy,BRHS047,LKG,C
Nidhi Iyer,BRHS048,UKG,Rigel
Pranav Verma,BRHS049,Nursery,A
Gauri Gupta,BRHS050,LKG,B
