Name,Email,Phone,AssignedGrades
Priya Sharma,priya.sharma@brainmoto.com,9876543210,"Nursery,LKG"
Rajesh Kumar,rajesh.kumar@brainmoto.com,9876543211,"UKG,Class 1"
Anita Desai,anita.desai@brainmoto.com,9876543212,"Class 2,Class 3"
Suresh Patel,suresh.patel@brainmoto.com,9876543213,"Class 4,Class 5"
Meera Reddy,meera.reddy@brainmoto.com,9876543214,"Nursery,LKG"
Vikram Singh,vikram.singh@brainmoto.com,9876543215,"UKG,Class 1"
Kavita Rao,kavita.rao@brainmoto.com,9876543216,"Class 2,Class 3"
Amit Verma,amit.verma@brainmoto.com,9876543217,"Class 4,Class 5"
Sneha Gupta,sneha.gupta@brainmoto.com,9876543218,"Nursery,LKG"
Deepak Joshi,deepak.joshi@brainmoto.com,9876543219,"UKG,Class 1"
